instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.1000,123,9998826909,9998822989,44,2254
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.2000,2026,9999357279,9999353123,27,2254
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.2000,42,9994297151,9994292470,40,2254
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.3000,42,9995356303,9995352910,26,2254
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.3000,123,9997886652,9997883428,26,2254
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.3000,2026,9999886724,9999883437,26,2254
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.2000,2026,9997827318,9997822780,43,2254
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.3000,42,9988826429,9988822479,42,2254
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.3000,123,9989826827,9989822538,41,2254
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.1000,123,9998827353,9998822863,39,2254
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.1000,123,9998827353,9998822863,29,2254
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.1000,42,9999297471,9999292890,42,2254
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.2000,2026,9999357176,9999353151,26,2254
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.2000,42,9998827374,9998822833,27,2254
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.3000,2026,9998357180,9998353192,25,2254
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.1000,2026,9995297202,9995292594,45,2254
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.1000,123,9998826909,9998822989,26,2254
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.2000,123,9998357185,9998353074,47,2254
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.2000,123,9996827320,9996822747,25,2254
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.1000,42,9998297184,9998292639,34,2254
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.2000,123,9998357073,9998353031,38,2254
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.1000,42,9999297271,9999292847,44,2254
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.3000,42,9988826644,9988822288,39,2254
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.1000,2026,9995297202,9995292594,44,2254
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.3000,2026,9998357180,9998353192,27,2254
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.3000,123,9989826827,9989822538,42,2254
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.1000,2026,9995297202,9995292594,37,2254
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.1000,42,9999297471,9999292890,28,2254
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.3000,123,9989826827,9989822538,30,2254
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.1000,2026,9995297202,9995292594,30,2254
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.2000,42,9994297151,9994292470,41,2254
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.3000,42,9995356303,9995352910,26,2254
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.2000,2026,9997827318,9997822780,37,2254
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.3000,42,9988826429,9988822479,36,2254
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.3000,123,9997886652,9997883428,29,2254
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.1000,123,9998827353,9998822863,25,2254
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.2000,42,9998827387,9998822899,35,2254
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.2000,123,9998357185,9998353074,34,2254
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.3000,2026,9999886724,9999883437,29,2254
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.1000,42,9999297271,9999292847,30,2254
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.1000,2026,9995297202,9995292594,29,2254
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.1000,123,9998827353,9998822863,43,2254
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.2000,2026,9999357279,9999353123,41,2254
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.2000,2026,9999357176,9999353151,30,2254
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.2000,123,9996827320,9996822747,26,2254
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.2000,42,9994297151,9994292470,26,2254
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.2000,42,9998827374,9998822833,39,2254
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.2000,123,9998357073,9998353031,38,2254
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.3000,123,9989826827,9989822538,34,2254
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.3000,42,9988826429,9988822479,26,2254
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.3000,2026,9998357180,9998353192,25,2254
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.3000,2026,9998357180,9998353192,36,2254
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.3000,123,9989826827,9989822538,27,2254
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.3000,42,9988826644,9988822288,40,2254
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.1000,123,9998827353,9998822863,28,2254
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.2000,123,9998357185,9998353074,25,2254
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.1000,42,9998297184,9998292639,39,2254
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.1000,123,9998826909,9998822989,39,2254
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.1000,2026,9995297202,9995292594,37,2254
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.2000,2026,9999357279,9999353123,25,2254
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.1000,42,9999297471,9999292890,29,2254
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.3000,42,9995356303,9995352910,28,2254
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.2000,2026,9997827318,9997822780,40,2254
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.3000,123,9997886652,9997883428,30,2254
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.1000,2026,9995297202,9995292594,34,2254
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.3000,2026,9999886724,9999883437,32,2254
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.2000,42,9998827387,9998822899,40,2254
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.1000,42,9999297271,9999292847,36,2254
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.2000,123,9998357073,9998353031,25,2254
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.1000,2026,9995297202,9995292594,31,2254
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.3000,2026,9998357180,9998353192,25,2254
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.2000,42,9998827374,9998822833,31,2254
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.1000,2026,9995297202,9995292594,26,2254
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.1000,123,9998826909,9998822989,29,2254
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.1000,123,9998827353,9998822863,43,2254
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.2000,123,9996827320,9996822747,26,2254
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.3000,42,9988826429,9988822479,26,2254
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.3000,123,9989826827,9989822538,34,2254
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.2000,2026,9999357176,9999353151,35,2254
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.3000,123,9989826827,9989822538,28,2254
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.3000,42,9988826644,9988822288,37,2254
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.1000,2026,9995297202,9995292594,28,2254
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.1000,123,9998827353,9998822863,28,2254
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.3000,2026,9998357180,9998353192,29,2254
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.2000,42,9994297151,9994292470,35,2254
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.2000,2026,9999357279,9999353123,25,2254
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.1000,42,9998297184,9998292639,38,2254
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.2000,2026,9997827318,9997822780,33,2254
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.3000,42,9995356303,9995352910,27,2254
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.1000,42,9999297471,9999292890,35,2254
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.3000,123,9997886652,9997883428,28,2254
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.2000,42,9998827387,9998822899,35,2254
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.2000,123,9998357185,9998353074,33,2254
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.1000,123,9998827353,9998822863,26,2254
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.2000,42,9998827374,9998822833,24,2254
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.1000,2026,9995297202,9995292594,26,2254
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.3000,2026,9999886724,9999883437,28,2254
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.3000,42,9988826644,9988822288,19,2254
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.2000,123,9998357073,9998353031,26,2254
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.1000,42,9999297271,9999292847,29,2254
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.3000,2026,9998357180,9998353192,22,2254
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.3000,123,9989826827,9989822538,23,2254
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.2000,2026,9999357176,9999353151,26,2254
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.2000,42,9994297151,9994292470,21,2254
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.3000,42,9988826429,9988822479,19,2254
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.2000,2026,9997827318,9997822780,20,2254
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.1000,42,9998297184,9998292639,24,2254
