instance,population_size,generations,crossover_rate,mutation_rate,elite_size,tournament_size,stagnation,seed,threads,initial_value,best_value,total_weight,optimal_value,difference,gap_percent,stop_generation,elapsed_s
n_1000_1,80,300,0.9500,0.0100,3,5,100,12,16,9999826005,9999827005,9999821532,9999946233,119228,0.001192,286,0.4122
n_1000_1,80,300,0.9500,0.0100,3,5,100,202,16,9999826150,9999827192,9999821550,9999946233,119041,0.001190,300,0.4500
n_1000_1,80,300,0.9500,0.0100,5,3,50,4,16,9999826041,9999826984,9999821124,9999946233,119249,0.001192,272,0.3909
n_1000_1,80,300,0.9500,0.0100,5,3,50,12,16,9999826005,9999826970,9999821095,9999946233,119263,0.001193,300,0.4299
n_1000_1,80,300,0.9500,0.0100,5,3,50,202,16,9999826150,9999826973,9999821195,9999946233,119260,0.001193,300,0.4249
n_1000_1,80,300,0.9500,0.0100,5,3,100,4,16,9999826041,9999827020,9999821206,9999946233,119213,0.001192,300,0.4089
n_1000_1,80,300,0.9500,0.0100,5,3,100,12,16,9999826005,9999826970,9999821095,9999946233,119263,0.001193,300,0.4269
n_1000_1,80,300,0.9500,0.0100,5,3,100,202,16,9999826150,9999826973,9999821195,9999946233,119260,0.001193,300,0.4119
n_1000_1,80,300,0.9500,0.0100,5,5,50,4,16,9999826041,9999827134,9999821560,9999946233,119099,0.001191,272,0.3713
n_1000_1,80,300,0.9500,0.0100,5,5,50,12,16,9999826005,9999827112,9999821603,9999946233,119121,0.001191,259,0.3578
n_1000_1,80,300,0.9500,0.0100,5,5,50,202,16,9999826150,9999826998,9999821492,9999946233,119235,0.001192,300,0.4139
n_1000_1,80,300,0.9500,0.0100,5,5,100,4,16,9999826041,9999827134,9999821560,9999946233,119099,0.001191,300,0.4289
n_1000_1,80,300,0.9500,0.0100,5,5,100,12,16,9999826005,9999827112,9999821603,9999946233,119121,0.001191,300,0.4184
n_1000_1,80,300,0.9500,0.0100,5,5,100,202,16,9999826150,9999826998,9999821492,9999946233,119235,0.001192,300,0.4224
n_1000_1,80,500,0.8500,0.0050,3,3,50,4,16,9999826041,9999827111,9999821488,9999946233,119122,0.001191,336,0.4770
n_1000_1,80,500,0.8500,0.0050,3,3,50,12,16,9999826005,9999827046,9999821520,9999946233,119187,0.001192,370,0.5311
n_1000_1,80,500,0.8500,0.0050,3,3,50,202,16,9999826150,9999827068,9999821331,9999946233,119165,0.001192,317,0.4372
n_1000_1,80,500,0.8500,0.0050,3,3,100,4,16,9999826041,9999827121,9999821561,9999946233,119112,0.001191,485,0.6639
n_1000_1,80,500,0.8500,0.0050,3,3,100,12,16,9999826005,9999827046,9999821520,9999946233,119187,0.001192,420,0.5888
n_1000_1,80,500,0.8500,0.0050,3,3,100,202,16,9999826150,9999827068,9999821331,9999946233,119165,0.001192,367,0.5276
n_1000_1,80,500,0.8500,0.0050,3,5,50,4,16,9999826041,9999827305,9999821986,9999946233,118928,0.001189,489,0.6884
n_1000_1,80,500,0.8500,0.0050,3,5,50,12,16,9999826005,9999827142,9999821711,9999946233,119091,0.001191,355,0.5036
n_1000_1,80,500,0.8500,0.0050,3,5,50,202,16,9999826150,9999827162,9999821602,9999946233,119071,0.001191,463,0.6609
n_1000_1,80,500,0.8500,0.0050,3,5,100,4,16,9999826041,9999827305,9999821986,9999946233,118928,0.001189,500,0.6954
n_1000_1,80,500,0.8500,0.0050,3,5,100,12,16,9999826005,9999827142,9999821711,9999946233,119091,0.001191,405,0.5783
n_1000_1,80,500,0.8500,0.0050,3,5,100,202,16,9999826150,9999827165,9999821656,9999946233,119068,0.001191,500,0.7315
n_1000_1,80,500,0.8500,0.0050,5,3,50,4,16,9999826041,9999827008,9999821221,9999946233,119225,0.001192,222,0.3040
n_1000_1,80,500,0.8500,0.0050,5,3,50,12,16,9999826005,9999827131,9999821619,9999946233,119102,0.001191,423,0.5823
n_1000_1,80,500,0.8500,0.0050,5,3,50,202,16,9999826150,9999827008,9999821420,9999946233,119225,0.001192,255,0.3556
n_1000_1,80,500,0.8500,0.0050,5,3,100,4,16,9999826041,9999827089,9999821445,9999946233,119144,0.001191,500,0.6854
n_1000_1,80,500,0.8500,0.0050,5,3,100,12,16,9999826005,9999827131,9999821619,9999946233,119102,0.001191,473,0.6483
n_1000_1,80,500,0.8500,0.0050,5,3,100,202,16,9999826150,9999827181,9999821626,9999946233,119052,0.001191,500,0.7952
n_1000_1,80,500,0.8500,0.0050,5,5,50,4,16,9999826041,9999827201,9999821796,9999946233,119032,0.001190,500,0.6682
n_1000_1,80,500,0.8500,0.0050,5,5,50,12,16,9999826005,9999827190,9999821810,9999946233,119043,0.001190,351,0.4781
