instance,ants,iterations,alpha,beta,rho,q,stall,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,2.0000,80,42,9989474397,9989474009,236
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,2.0000,80,123,9990474374,9990474008,255
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,2.0000,80,2026,9989474385,9989473979,253
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,2.0000,120,42,9989474362,9989473946,260
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,2.0000,120,123,9990474323,9990473958,246
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.3000,2.0000,120,2026,9989474357,9989473974,291
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,50,42,9989474377,9989473983,329
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,80,123,9989474314,9989473937,328
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,50,2026,9989474305,9989473965,337
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,80,2026,9989474319,9989473912,323
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,80,42,9989474328,9989473946,346
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,120,42,9989474328,9989473946,342
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,50,42,9989474377,9989473983,327
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,50,123,9989474339,9989474013,385
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,120,2026,9989474305,9989473965,341
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,50,2026,9989474305,9989473965,330
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,80,2026,9989474319,9989473912,324
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,80,42,9989474328,9989473946,330
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,80,123,9989474314,9989473937,331
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,0.5000,120,123,9989474314,9989473937,360
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,120,2026,9989474305,9989473965,330
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,50,123,9989474339,9989474013,350
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,120,42,9989474328,9989473946,338
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,50,2026,9989474305,9989473965,331
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,1.0000,120,123,9989474314,9989473937,345
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,50,123,9989474339,9989474013,335
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,50,42,9989474377,9989473983,349
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,80,42,9989474328,9989473946,343
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,120,42,9989474328,9989473946,327
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,80,123,9989474314,9989473937,333
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,120,2026,9989474305,9989473965,326
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,120,123,9989474314,9989473937,340
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.1000,2.0000,80,2026,9989474319,9989473912,373
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,50,123,9989474305,9989473965,324
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,50,42,9989474377,9989473983,367
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,50,2026,9989474305,9989473965,330
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,80,42,9989474328,9989473946,314
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,80,123,9989474305,9989473965,329
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,80,2026,9989474319,9989473912,325
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,120,123,9989474305,9989473965,303
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,50,123,9989474305,9989473965,291
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,120,2026,9989474305,9989473965,314
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,50,42,9989474377,9989473983,315
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,120,42,9989474328,9989473946,326
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,50,2026,9989474305,9989473965,307
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,80,123,9989474305,9989473965,301
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,120,2026,9989474305,9989473965,293
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,80,2026,9989474319,9989473912,301
